№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
425;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;2;;;
426;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;1;;;
427;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;1;;;
428;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;северная апсида;2014-2015;3;;;
429;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№335;уч. 22, пл. 2;2016;128;;;
430;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№336;уч. 22;2016;106;;;
431;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№337;уч. 22, пл. 3;2016;152;;;
432;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№339;уч. 22, пл. 6;2016;124;;;
433;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№338;уч. 22, кв. 2;2016;87;;;
434;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№340;уч. 22, пл. 4;2016;97;;;
435;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№341;уч. 22, пл.2 ;2016;205;;;
436;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№342;кв. 22, пл. 2;2016;137;;;
437;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№344;уч. 22, пл. 4;2016;83;;;
438;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№343;;2016;26;;;
439;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№345;кв. 18, пл. 3;2016;560;;;
440;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;подкупольное простство;2014-2015;10;;;
